Geographic Area Name,CBSA Code,Metropolitan/Micropolitan Statistical Area,States,Population,Population change in latest year,2020 Population,2021 Population,2022 Population,2023 Population,2020 Net Population Change,2021 Net Population Change,2022  Net Population Change,2023  Net Population Change,2020 Births,2021 Births,2022 Births,2023 Births,2020 Deaths,2021 Deaths,2022 Deaths,2023 Deaths,Natural Change 2020,Natural Change 2021,Natural Change 2022,Natural Change 2023,International Migration 2020,International Migration 2021,International Migration 2022,International Migration 2023,Domestic Migration 2020,Domestic Migration 2021,Domestic Migration 2022,Domestic Migration 2023,Net Migration 2020,Net Migration 2021,Net Migration 2022,Net Migration 2023,Residual 2020,Residual 2021,Residual 2022,Residual 2023
"Boston-Cambridge-Newton, MA-NH",14460,Metropolitan Statistical Area,MA-NH,4919179,0.003294496,4933650,4906460,4903026,4919179,-10961,-27190,-3434,16153,12280,47884,49684,49417,14708,39717,41118,39715,-2428,8167,8566,9702,727,13220,34423,39952,-9225,-48311,-46282,-33604,-8498,-35091,-11859,6348,-35,-266,-141,103
"Boulder, CO",14500,Metropolitan Statistical Area,CO,326831,-0.001551908,330938,327084,327339,326831,179,-3854,255,-508,623,2481,2478,2486,571,2144,2270,2038,52,337,208,448,23,334,819,960,-23,-4415,-538,-1919,0,-4081,281,-959,127,-110,-234,3
"Bowling Green, KY",14540,Metropolitan Statistical Area,KY,188840,0.015290651,180070,182603,185996,188840,431,2533,3393,2844,518,2298,2379,2425,472,1936,2044,1830,46,362,335,595,8,133,392,591,345,2012,2622,1647,353,2145,3014,2238,32,26,44,11
"Bozeman, MT",14580,Metropolitan Statistical Area,MT,126409,0.01177384,119597,123098,124938,126409,639,3501,1840,1471,287,1193,1262,1266,133,651,677,606,154,542,585,660,7,131,338,113,497,2926,893,686,504,3057,1231,799,-19,-98,24,12
"Bradford, PA",14620,Micropolitan Statistical Area,PA,39519,-0.007534092,40399,40317,39819,39519,-31,-82,-498,-300,107,347,330,324,120,579,630,592,-13,-232,-300,-268,0,10,10,12,-27,120,-192,-44,-27,130,-182,-32,9,20,-16,0
"Brainerd, MN",14660,Micropolitan Statistical Area,MN,99750,0.005625454,96445,98024,99192,99750,236,1579,1168,558,228,912,919,922,246,1198,1293,1212,-18,-286,-374,-290,0,3,25,25,268,1921,1459,822,268,1924,1484,847,-14,-59,58,1
"Branson, MO",14700,Micropolitan Statistical Area,MO,56775,0.000458158,56062,56304,56749,56775,4,242,445,26,142,574,580,579,160,782,801,721,-18,-208,-221,-142,1,2,-5,-9,15,429,666,174,16,431,661,165,6,19,5,3
"Brattleboro, VT",14710,Micropolitan Statistical Area,VT,45966,0.001459727,45860,46150,45899,45966,-55,290,-251,67,68,295,352,336,112,486,563,529,-44,-191,-211,-193,0,5,18,32,-18,472,-29,229,-18,477,-11,261,7,4,-29,-1
"Breckenridge, CO",14720,Micropolitan Statistical Area,CO,37830,-0.004001896,38409,38393,37982,37830,-78,-16,-411,-152,79,322,343,347,32,124,134,135,47,198,209,212,1,14,94,96,-125,-251,-716,-454,-124,-237,-622,-358,-1,23,2,-6
"Bremerton-Silverdale-Port Orchard, WA",14740,Metropolitan Statistical Area,WA,277658,-0.000557929,275823,276589,277813,277658,211,766,1224,-155,664,2753,2827,2809,554,2483,2695,2551,110,270,132,258,-3,98,428,324,26,289,766,-716,23,387,1194,-392,78,109,-102,-21
"Brenham, TX",14780,Micropolitan Statistical Area,TX,37007,0.017570392,35804,35947,36368,37007,2,143,421,639,76,379,368,381,132,496,517,479,-56,-117,-149,-98,0,24,22,26,51,224,528,712,51,248,550,738,7,12,20,-1
"Brevard, NC",14820,Micropolitan Statistical Area,NC,33549,0.005273724,33048,33272,33373,33549,64,224,101,176,57,240,250,245,104,503,510,483,-47,-263,-260,-238,0,7,33,48,123,490,317,363,123,497,350,411,-12,-10,11,3
"Bridgeport-Stamford-Danbury, CT",14860,Metropolitan Statistical Area,CT,951558,0.001658979,942755,950010,949982,951558,-3538,7255,-28,1576,2360,9361,9888,9729,3002,7574,7621,7138,-642,1787,2267,2591,161,2436,6144,6042,-2840,2507,-8552,-7153,-2679,4943,-2408,-1111,-217,525,113,96
"Brigham City, UT-ID",14940,Micropolitan Statistical Area,UT-ID,67637,0.020735554,62512,64290,66263,67637,282,1778,1973,1374,234,834,895,888,139,537,575,535,95,297,320,353,0,4,19,36,179,1514,1596,985,179,1518,1615,1021,8,-37,38,0
"Brookhaven, MS",15020,Micropolitan Statistical Area,MS,34702,-0.001783454,34828,34939,34764,34702,-79,111,-175,-62,92,401,403,408,152,535,538,489,-60,-134,-135,-81,0,4,7,17,-27,225,-33,1,-27,229,-26,18,8,16,-14,1
"Brookings, OR",15060,Micropolitan Statistical Area,OR,23296,-0.013424808,23519,23719,23613,23296,69,200,-106,-317,37,153,152,144,119,487,505,469,-82,-334,-353,-325,0,-3,-7,-10,174,560,245,21,174,557,238,11,-23,-23,9,-3
"Brookings, SD",15100,Micropolitan Statistical Area,SD,35980,0.013778141,34343,34696,35491,35980,-27,353,795,489,90,366,383,385,56,244,222,214,34,122,161,171,5,117,334,193,-66,91,308,123,-61,208,642,316,0,23,-8,2
"Brownsville-Harlingen, TX",15180,Metropolitan Statistical Area,TX,426710,0.004233828,421480,422636,424911,426710,460,1156,2275,1799,1473,5605,5906,6022,799,4462,3680,3228,674,1143,2226,2794,26,290,847,833,-329,-583,-624,-1860,-303,-293,223,-1027,89,306,-174,32
"Brownwood, TX",15220,Micropolitan Statistical Area,TX,38709,0.006919335,38043,38135,38443,38709,-49,92,308,266,95,402,455,468,140,701,648,588,-45,-299,-193,-120,0,3,37,38,-11,383,477,345,-11,386,514,383,7,5,-13,3
"Brunswick-St. Simons, GA",15260,Metropolitan Statistical Area,GA,116074,0.013410397,113511,113959,114538,116074,17,448,579,1536,254,1167,1180,1204,344,1597,1646,1471,-90,-430,-466,-267,0,52,117,138,92,783,939,1666,92,835,1056,1804,15,43,-11,-1
"Bucyrus, OH",15340,Micropolitan Statistical Area,OH,41529,0.000481823,42013,41782,41509,41529,-3,-231,-273,20,117,454,434,442,135,733,692,630,-18,-279,-258,-188,0,20,41,46,7,-1,-31,161,7,19,10,207,8,29,-25,1
"Buffalo-Cheektowaga, NY",15380,Metropolitan Statistical Area,NY,1155604,-0.002835472,1164468,1164631,1158890,1155604,-2429,163,-5741,-3286,2918,11436,11587,11593,3793,13866,13523,12631,-875,-2430,-1936,-1038,55,943,2379,2235,-1707,810,-5872,-4528,-1652,1753,-3493,-2293,98,840,-312,45
"Burley, ID",15420,Micropolitan Statistical Area,ID,48176,0.006770877,46428,47188,47852,48176,154,760,664,324,163,669,671,670,91,471,478,440,72,198,193,230,2,68,153,70,70,483,343,20,72,551,496,90,10,11,-25,4
"Burlington, IA-IL",15460,Micropolitan Statistical Area,IA-IL,44341,-0.001553704,45158,44812,44410,44341,-137,-346,-402,-69,118,456,467,470,150,629,650,604,-32,-173,-183,-134,1,39,73,42,-104,-227,-283,24,-103,-188,-210,66,-2,15,-9,-1
"Burlington, NC",15500,Metropolitan Statistical Area,NC,179165,0.014420954,171960,173968,176618,179165,534,2008,2650,2547,437,1871,1952,1944,486,2071,2082,1926,-49,-200,-130,18,0,122,286,315,594,2061,2443,2208,594,2183,2729,2523,-11,25,51,6
"Burlington-South Burlington, VT",15540,Metropolitan Statistical Area,VT,227942,0.001652268,225717,227196,227566,227942,154,1479,370,376,506,1965,2031,1920,459,1796,1990,1871,47,169,41,49,20,279,646,895,4,896,-227,-574,24,1175,419,321,83,135,-90,6
"Butte-Silver Bow, MT",15580,Micropolitan Statistical Area,MT,36360,0.011489137,35210,35502,35947,36360,78,292,445,413,85,331,352,354,97,538,551,496,-12,-207,-199,-142,3,71,158,60,86,429,464,495,89,500,622,555,1,-1,22,0
"CaÃ¯Â¿Â½on City, CO",15860,Micropolitan Statistical Area,CO,50318,0.014148662,48878,49237,49616,50318,-56,359,379,702,98,383,366,351,147,680,743,676,-49,-297,-377,-325,0,7,1,6,-12,653,703,1014,-12,660,704,1020,5,-4,52,7
"Cadillac, MI",15620,Micropolitan Statistical Area,MI,49433,0.003715736,48758,49071,49250,49433,30,313,179,183,123,509,506,498,145,630,710,675,-22,-121,-204,-177,0,4,25,31,42,421,370,328,42,425,395,359,10,9,-12,1
"Calhoun, GA",15660,Micropolitan Statistical Area,GA,59757,0.015325801,57722,58239,58855,59757,178,517,616,902,147,640,655,660,155,739,759,688,-8,-99,-104,-28,3,45,46,64,182,556,673,867,185,601,719,931,1,15,1,-1
"Cambridge, MD",15700,Micropolitan Statistical Area,MD,32879,0.009084492,32530,32594,32583,32879,1,64,-11,296,95,345,337,336,110,451,495,489,-15,-106,-158,-153,0,13,21,32,12,141,134,413,12,154,155,445,4,16,-8,4
"Cambridge, OH",15740,Micropolitan Statistical Area,OH,38089,0.000761955,38423,38287,38060,38089,-19,-136,-227,29,105,422,412,410,130,586,653,595,-25,-164,-241,-185,0,4,1,3,-5,-4,36,215,-5,0,37,218,11,28,-23,-4
"Camden, AR",15780,Micropolitan Statistical Area,AR,26434,-0.009257524,27351,27040,26681,26434,-36,-311,-359,-247,86,276,301,298,106,509,491,458,-20,-233,-190,-160,0,0,0,0,-24,-86,-161,-87,-24,-86,-161,-87,8,8,-8,0
"Campbellsville, KY",15820,Micropolitan Statistical Area,KY,37911,0.003255002,37132,37512,37788,37911,2,380,276,123,100,441,438,441,131,551,622,566,-31,-110,-184,-125,0,9,9,15,25,481,442,232,25,490,451,247,8,0,9,1
"Canton, IL",15900,Micropolitan Statistical Area,IL,32541,-0.011962957,33487,33275,32935,32541,-121,-212,-340,-394,87,285,266,263,126,551,533,503,-39,-266,-267,-240,0,1,0,0,-76,29,-57,-156,-76,30,-57,-156,-6,24,-16,2
"Canton-Massillon, OH",15940,Metropolitan Statistical Area,OH,399474,7.50993E-06,401224,400492,399471,399474,-356,-732,-1021,3,1023,4206,4097,4163,1353,5787,5747,5022,-330,-1581,-1650,-859,1,97,206,236,-108,469,662,636,-107,566,868,872,81,283,-239,-10
"Cape Coral-Fort Myers, FL",15980,Metropolitan Statistical Area,FL,834573,0.014812905,765547,790888,822391,834573,4733,25341,31503,12182,1644,6785,7434,7477,2069,8930,9721,8597,-425,-2145,-2287,-1120,84,1199,3220,4906,5743,27550,28916,8374,5827,28749,32136,13280,-669,-1263,1654,22
"Cape Girardeau, MO-IL",16020,Metropolitan Statistical Area,MO-IL,98223,-0.00081381,97552,97743,98303,98223,29,191,560,-80,274,1060,1064,1057,292,1335,1216,1133,-18,-275,-152,-76,6,52,115,83,21,366,619,-92,27,418,734,-9,20,48,-22,5
"Carbondale, IL",16060,Micropolitan Statistical Area,IL,52141,-0.006402805,52891,52604,52477,52141,-75,-287,-127,-336,146,571,544,542,145,625,605,569,1,-54,-61,-27,1,76,195,237,-76,-325,-251,-549,-75,-249,-56,-312,-1,16,-10,3
"Carlsbad-Artesia, NM",16100,Micropolitan Statistical Area,NM,60275,0.001195954,62333,60855,60203,60275,19,-1478,-652,72,199,796,752,734,135,710,793,726,64,86,-41,8,1,28,70,25,-63,-1531,-699,41,-62,-1503,-629,66,17,-61,18,-2
"Carroll, IA",16140,Micropolitan Statistical Area,IA,20522,-0.000924979,20726,20740,20541,20522,-33,14,-199,-19,69,226,250,250,59,286,296,286,10,-60,-46,-36,0,11,18,26,-41,51,-165,-9,-41,62,-147,17,-2,12,-6,0
"Carson City, NV",16180,Metropolitan Statistical Area,NV,58036,-0.00049944,58686,58764,58065,58036,40,78,-699,-29,135,509,529,524,221,1037,1018,914,-86,-528,-489,-390,0,39,73,18,122,566,-270,339,122,605,-197,357,4,1,-13,4
"Casper, WY",16220,Metropolitan Statistical Area,WY,79941,0.005256341,80299,79635,79523,79941,333,-664,-112,418,239,861,840,827,174,952,977,792,65,-91,-137,35,0,0,-2,0,268,-594,75,381,268,-594,73,381,0,21,-48,2
"Cedar City, UT",16260,Micropolitan Statistical Area,UT,64211,0.027244513,57713,60520,62508,64211,427,2807,1988,1703,226,749,832,823,87,405,446,419,139,344,386,404,0,15,82,161,302,2551,1470,1136,302,2566,1552,1297,-14,-103,50,2
"Cedar Rapids, IA",16300,Metropolitan Statistical Area,IA,275668,0.000134237,276621,276009,275631,275668,97,-612,-378,37,765,3008,3039,3076,614,2757,2792,2537,151,251,247,539,17,360,780,497,-141,-1293,-1351,-1008,-124,-933,-571,-511,70,70,-54,9
"Cedartown, GA",16340,Micropolitan Statistical Area,GA,44223,0.012686345,42924,43316,43669,44223,73,392,353,554,126,530,566,584,119,631,650,574,7,-101,-84,10,0,15,21,22,58,470,415,519,58,485,436,541,8,8,1,3
"Celina, OH",16380,Micropolitan Statistical Area,OH,42439,0.000353573,42542,42392,42424,42439,3,-150,32,15,164,625,638,650,114,514,469,437,50,111,169,213,0,8,19,24,-49,-281,-141,-224,-49,-273,-122,-200,2,12,-15,2
"Centralia, IL",16460,Micropolitan Statistical Area,IL,36673,-0.006286411,37652,37379,36905,36673,-84,-273,-474,-232,111,498,437,421,130,675,607,560,-19,-177,-170,-139,0,2,3,5,-65,-121,-296,-99,-65,-119,-293,-94,0,23,-11,1
"Centralia, WA",16500,Micropolitan Statistical Area,WA,86154,0.009337254,82553,84569,85357,86154,410,2016,788,797,224,886,941,926,229,1049,1168,1126,-5,-163,-227,-200,1,32,53,34,445,2226,942,962,446,2258,995,996,-31,-79,20,1
"Chambersburg, PA",16540,Metropolitan Statistical Area,PA,157854,0.005753388,155949,156573,156951,157854,4,624,378,903,400,1646,1733,1718,452,2023,2036,1855,-52,-377,-303,-137,6,88,231,226,3,845,519,818,9,933,750,1044,47,68,-69,-4
"Champaign-Urbana, IL",16580,Metropolitan Statistical Area,IL,235608,-0.002083863,235848,236841,236100,235608,-227,993,-741,-492,599,2396,2387,2389,439,2081,2045,1901,160,315,342,488,30,717,1820,2178,-421,-209,-2967,-3178,-391,508,-1147,-1000,4,170,64,20
"Charleston, WV",16620,Metropolitan Statistical Area,WV,203164,-0.007071956,209982,207331,204611,203164,-623,-2651,-2720,-1447,486,1960,2015,2011,751,3590,3752,3109,-265,-1630,-1737,-1098,10,95,280,224,-370,-1192,-1183,-581,-360,-1097,-903,-357,2,76,-80,8
"Charleston-Mattoon, IL",16660,Micropolitan Statistical Area,IL,46060,-0.006170975,46760,46802,46346,46060,-104,42,-456,-286,117,463,453,449,152,617,606,566,-35,-154,-153,-117,0,18,46,52,-74,152,-349,-225,-74,170,-303,-173,5,26,0,4
"Charleston-North Charleston, SC",16700,Metropolitan Statistical Area,SC,849417,0.022960142,803475,814823,830352,849417,3839,11348,15529,19065,2315,9556,9814,9676,1655,7735,7613,6760,660,1821,2201,2916,82,862,2091,1865,3243,8611,10925,14262,3325,9473,13016,16127,-146,54,312,22
"Charlotte-Concord-Gastonia, NC-SC",16740,Metropolitan Statistical Area,NC-SC,2805115,0.018317344,2669651,2707454,2754657,2805115,9303,37803,47203,50458,7546,31050,32556,32848,5605,24632,25019,23046,1941,6418,7537,9802,265,4040,10476,11267,6788,27069,29074,29403,7053,31109,39550,40670,309,276,116,-14
"Charlottesville, VA",16820,Metropolitan Statistical Area,VA,225127,0.005049197,221620,223267,223996,225127,94,1647,729,1131,479,2276,2284,2284,468,2028,2108,2003,11,248,176,281,4,353,870,627,40,1078,-265,224,44,1431,605,851,39,-32,-52,-1
"Chattanooga, TN-GA",16860,Metropolitan Statistical Area,TN-GA,580971,0.011332362,563952,567446,574461,580971,1304,3494,7015,6510,1551,6374,6707,6288,1617,7305,7462,6491,-66,-931,-755,-203,10,198,441,757,1347,4024,7141,5926,1357,4222,7582,6683,13,203,188,30
"Cheyenne, WY",16940,Metropolitan Statistical Area,WY,100984,0.002014269,100730,100827,100781,100984,218,97,-46,203,286,1113,1131,1121,231,1071,1289,1054,55,42,-158,67,5,-5,2,15,143,-9,144,121,148,-14,146,136,15,69,-34,0
"Chicago-Naperville-Elgin, IL-IN",16980,Metropolitan Statistical Area,IL-IN,9262825,-0.001789119,9435217,9356597,9279427,9262825,-15087,-78620,-77170,-16602,24801,96895,96609,96035,25567,83681,83920,75945,-766,13214,12689,20090,471,9480,26634,34604,-15732,-100748,-117638,-71310,-15261,-91268,-91004,-36706,940,-566,1145,14
"Chico, CA",17020,Metropolitan Statistical Area,CA,207172,-0.000949997,210151,206336,207369,207172,-1479,-3815,1033,-197,488,2006,2016,1947,514,2501,2500,2388,-26,-495,-484,-441,1,64,198,238,-1307,-3279,1289,12,-1306,-3215,1487,250,-147,-105,30,-6
"Chillicothe, OH",17060,Micropolitan Statistical Area,OH,76501,-9.14937E-05,77049,76500,76508,76501,-29,-549,8,-7,191,796,768,776,252,1151,1182,1068,-61,-355,-414,-292,0,2,2,3,6,-236,440,279,6,-234,442,282,26,40,-20,3
"Cincinnati, OH-KY-IN",17140,Metropolitan Statistical Area,OH-KY-IN,2271479,0.005691073,2251974,2252627,2258625,2271479,2193,653,5998,12854,6563,25814,26103,25894,5582,24616,24867,21679,981,1198,1236,4215,130,2153,5421,6596,467,-3503,350,2028,597,-1350,5771,8624,615,805,-1009,15
"Clarksburg, WV",17220,Micropolitan Statistical Area,WV,88707,-0.001879065,90315,89668,88874,88707,-110,-647,-794,-167,213,885,891,888,303,1266,1487,1287,-90,-381,-596,-399,0,6,28,16,-37,-311,-186,214,-37,-305,-158,230,17,39,-40,2
"Clarksdale, MS",17260,Micropolitan Statistical Area,MS,20077,-0.007808253,21224,20721,20235,20077,-161,-503,-486,-158,67,320,305,303,93,412,392,335,-26,-92,-87,-32,0,1,65,165,-125,-400,-476,-289,-125,-399,-411,-124,-10,-12,12,-2
"Clarksville, TN-KY",17300,Metropolitan Statistical Area,TN-KY,340495,0.014806558,321827,328949,335527,340495,1309,7122,6578,4968,1343,5219,5511,5305,663,3133,3285,2940,680,2086,2226,2365,8,-46,50,265,619,5183,3966,2294,627,5137,4016,2559,2,-101,336,44
"Clearlake, CA",17340,Micropolitan Statistical Area,CA,67878,-0.004312621,68199,68645,68172,67878,39,446,-473,-294,168,682,683,683,185,926,977,972,-17,-244,-294,-289,0,14,39,57,49,681,-183,-61,49,695,-144,-4,7,-5,-35,-1
"Cleveland, MS",17380,Micropolitan Statistical Area,MS,28968,-0.016733987,30835,30201,29461,28968,-145,-634,-740,-493,98,407,404,407,122,575,494,441,-24,-168,-90,-34,0,-1,3,53,-112,-459,-672,-509,-112,-460,-669,-456,-9,-6,19,-3
"Cleveland, OH",17410,Metropolitan Statistical Area,OH,2158932,-0.000818716,2184115,2170475,2160701,2158932,-1612,-13640,-9774,-1769,5473,21954,21869,21902,6324,27798,27890,24283,-851,-5844,-6021,-2381,111,1596,4048,4804,-1248,-9992,-7116,-4166,-1137,-8396,-3068,638,376,600,-685,-26
"Cleveland, TN",17420,Metropolitan Statistical Area,TN,129612,0.010092194,126394,127469,128317,129612,230,1075,848,1295,309,1287,1368,1349,378,1856,1971,1753,-69,-569,-603,-404,0,48,130,217,286,1579,1316,1478,286,1627,1446,1695,13,17,5,4
"Clewiston, FL",17500,Micropolitan Statistical Area,FL,56119,0.042058157,51801,52481,53854,56119,52,680,1373,2265,136,575,629,634,128,588,598,574,8,-13,31,60,5,102,280,444,44,590,1015,1763,49,692,1295,2207,-5,1,47,-2
"Clinton, IA",17540,Micropolitan Statistical Area,IA,46158,-0.002097071,46427,46483,46255,46158,-32,56,-228,-97,136,495,545,549,135,620,664,618,1,-125,-119,-69,0,10,14,5,-39,139,-103,-32,-39,149,-89,-27,6,32,-20,-1
"Clovis, NM",17580,Micropolitan Statistical Area,NM,66009,-0.004208907,67518,66928,66288,66009,-96,-590,-640,-279,268,977,1015,982,139,732,802,739,129,245,213,243,6,59,62,39,-228,-886,-914,-556,-222,-827,-852,-517,-3,-8,-1,-5
"Coamo, PR",17620,Micropolitan Statistical Area,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coco, PR",17640,Micropolitan Statistical Area,PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cody, WY",17650,Micropolitan Statistical Area,WY,30735,0.007539748,29669,30141,30505,30735,42,472,364,230,59,296,273,266,71,390,429,352,-12,-94,-156,-86,0,18,46,7,53,560,464,312,53,578,510,319,1,-12,10,-3
"Coeur d'Alene, ID",17660,Metropolitan Statistical Area,ID,185010,0.009384036,172785,180058,183290,185010,1422,7273,3232,1720,456,1824,1893,1879,362,1817,2065,1782,94,7,-172,97,0,-37,-56,12,1453,7644,3366,1613,1453,7607,3310,1625,-125,-341,94,-2
"Coldwater, MI",17740,Micropolitan Statistical Area,MI,45215,0.016021752,44884,45215,44502,45215,11,331,-713,713,154,587,562,530,144,566,571,533,10,21,-9,-3,0,35,114,135,-12,256,-862,575,-12,291,-748,710,13,19,44,6
"College Station-Bryan, TX",17780,Metropolitan Statistical Area,TX,281445,0.013299682,268953,272667,277751,281445,709,3714,5084,3694,768,3052,3232,3312,440,1984,1971,1819,328,1068,1261,1493,21,396,952,1034,253,2119,2924,1154,274,2515,3876,2188,107,131,-53,13
"Colorado Springs, CO",17820,Metropolitan Statistical Area,CO,768832,0.004410443,757128,762232,765456,768832,2016,5104,3224,3376,2247,9468,9374,9326,1388,6118,6423,5945,859,3350,2951,3381,-13,58,547,786,1029,1193,1,-803,1016,1251,548,-17,141,503,-275,12
"Columbia, MO",17860,Metropolitan Statistical Area,MO,216511,0.008608843,210850,212936,214663,216511,-12,2086,1727,1848,598,2206,2238,2233,392,1741,1813,1676,206,465,425,557,22,328,903,698,-224,1183,519,589,-202,1511,1422,1287,-16,110,-120,4
"Columbia, SC",17900,Metropolitan Statistical Area,SC,858302,0.012014923,830137,837804,848112,858302,671,7667,10308,10190,2170,9155,9294,9262,2108,9194,9217,8225,62,-39,77,1037,77,659,1772,1538,540,6799,8553,7641,617,7458,10325,9179,-8,248,-94,-26
"Columbus, GA-AL",17980,Metropolitan Statistical Area,GA-AL,323768,-0.000179109,329196,326478,323826,323768,309,-2718,-2652,-58,997,4139,4112,4017,895,4055,3960,3517,102,84,152,500,53,156,488,581,90,-2902,-3370,-1133,143,-2746,-2882,-552,64,-56,78,-6
"Columbus, IN",18020,Metropolitan Statistical Area,IN,84003,0.007302684,82218,82729,83394,84003,7,511,665,609,256,1042,1042,1031,228,874,908,820,28,168,134,211,19,248,560,673,-58,43,1,-281,-39,291,561,392,18,52,-30,6
"Columbus, MS",18060,Micropolitan Statistical Area,MS,67197,-0.007004478,69006,68276,67671,67197,-154,-730,-605,-474,229,863,908,880,253,971,905,823,-24,-108,3,57,0,4,8,43,-134,-628,-618,-575,-134,-624,-610,-532,4,2,2,1
"Columbus, NE",18100,Micropolitan Statistical Area,NE,45175,0.008190502,44844,44772,44808,45175,-31,-72,36,367,160,675,609,612,90,438,396,372,70,237,213,240,6,87,266,381,-103,-403,-437,-252,-97,-316,-171,129,-4,7,-6,-2
"Columbus, OH",18140,Metropolitan Statistical Area,OH,2180271,0.008420187,2141895,2146927,2162066,2180271,2954,5032,15139,18205,6453,25529,26048,26045,4962,20230,20837,18375,1491,5299,5211,7670,199,3283,9112,10721,627,-3609,1503,-123,826,-326,10615,10598,637,59,-687,-63
"Concord, NH",18180,Micropolitan Statistical Area,NH,157103,0.004116094,154038,154622,156459,157103,233,584,1837,644,326,1320,1338,1298,370,1521,1636,1603,-44,-201,-298,-305,12,152,288,60,236,529,1834,884,248,681,2122,944,29,104,13,5
"Connersville, IN",18220,Micropolitan Statistical Area,IN,23362,-0.001154389,23359,23381,23389,23362,-39,22,8,-27,68,233,266,241,87,385,397,362,-19,-152,-131,-121,0,4,10,12,-20,161,138,82,-20,165,148,94,0,9,-9,0
"Cookeville, TN",18260,Micropolitan Statistical Area,TN,148226,0.018889454,141738,143393,145478,148226,405,1655,2085,2748,358,1483,1564,1576,460,2153,2167,1953,-102,-670,-603,-377,0,28,92,168,523,2336,2499,2959,523,2364,2591,3127,-16,-39,97,-2
